id,en_answer,difficulty
1,219816.0,Medium
2,125,Medium
3,10349920.0,Hard
4,30400.0,Easy
5,18.6943,Easy
6,10755.00,Hard
7,904590.0,Medium
8,14,Medium
9,623.0,Hard
10,3,Easy
11,3867,Medium
12,43200.00,Hard
13,180000.0,Medium
14,123.80,Hard
15,168,Medium
16,4100.0,Easy
17,0.5765,Hard
18,5,Medium
19,4000.0,Easy
20,956.0,Easy
21,15000.0,Easy
22,156483,Medium
23,21500.0,Easy
24,1000.0,Easy
25,510000.0,Easy
26,53,Hard
27,1146.4142,Hard
28,580000,Medium
29,2000,Medium
30,32.43589743589744,Easy
31,1190.41,Hard
32,2924.0,Easy
33,1000.0,Medium
34,7.0,Hard
35,14.1,Medium
36,175.37,Hard
37,11250.0,Medium
38,14,Easy
39,600.0,Easy
40,33288066.626,Medium
41,964640,Medium
42,150.0,Easy
43,6800,Medium
44,685,Medium
45,700,Easy
46,715.70,Medium
47,20241.615384615387,Hard
48,11250.0,Medium
49,208000.0,Medium
50,9100,Easy
51,4240,Medium
52,150,Easy
53,3050.0,Easy
54,135.26666666666668,Easy
55,4,Hard
56,-700,Medium
57,600.0,Easy
58,240000.0,Easy
59,6160.0,Medium
60,153.0,Hard
61,37000,Easy
62,90000.0,Easy
63,640.0,Easy
64,38000.0,Easy
65,30500.0,Medium
66,25000.0,Medium
67,3160500.0,Medium
68,1030.0,Easy
69,20.0,Easy
70,35,Easy
71,330,Medium
72,135000.0,Easy
73,1600.0,Easy
74,115000,Medium
75,57.0,Easy
76,4700,Medium
77,1005.0,Easy
78,172,Medium
79,9800.0,Easy
80,84000,Medium
81,28.6,Hard
82,28,Easy
83,26.0,Hard
84,23000.0,Easy
85,1866.37,Hard
86,77500,Hard
87,4170,Medium
88,1.25,Medium
89,146.667,Medium
90,3600,Medium
91,408.9,Easy
92,6200,Easy
93,3360,Easy
94,5000000,Medium
95,528,Medium
96,19.6,Medium
97,115,Medium
98,137500.0,Medium
99,0.6075,Hard
100,84,Hard
